quarter,parent1_name,parent1_code,parent2_name,parent2_code,category_name,category_code,quarterly_avg_click_ratio,quarterly_max_click_ratio,sales_group,sales_amount
Q1,패션잡화,50000001,남성가방,50000177,메신저백,50017420,90.42973333333332,100.0,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,메신저백,50017420,59.08355333333333,61.99549,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,메신저백,50017420,41.33193666666667,52.10375,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,메신저백,50017420,23.40887,26.10027,가방,608718
Q1,패션잡화,50000001,남성가방,50000177,백팩,50000651,82.99128333333333,100.0,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,백팩,50000651,48.81089,53.0912,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,백팩,50000651,40.33925,46.52947,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,백팩,50000651,28.20002,29.50339,가방,608718
Q1,패션잡화,50000001,남성가방,50000177,브리프케이스,50000650,95.07382,100.0,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,브리프케이스,50000650,75.46242333333333,82.98079,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,브리프케이스,50000650,61.96026666666668,72.34959,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,브리프케이스,50000650,48.12121333333334,48.4814,가방,608718
Q1,패션잡화,50000001,남성가방,50000177,숄더백,50000646,97.66955666666668,99.40273,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,숄더백,50000646,92.65650666666666,96.73396,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,숄더백,50000646,84.49957,100.0,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,숄더백,50000646,50.85599333333334,60.5401,가방,608718
Q1,패션잡화,50000001,남성가방,50000177,에코백,50015341,60.63141,71.34477,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,에코백,50015341,79.43298666666666,86.59535,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,에코백,50015341,82.20765,100.0,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,에코백,50015341,40.50432333333333,50.27171,가방,608718
Q1,패션잡화,50000001,남성가방,50000177,크로스백,50000648,86.26239666666667,89.84017,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,크로스백,50000648,97.32877,100.0,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,크로스백,50000648,77.88293333333333,94.99728,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,크로스백,50000648,44.60382333333333,54.21298,가방,608718
Q1,패션잡화,50000001,남성가방,50000177,클러치백,50000649,69.60073,74.3989,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,클러치백,50000649,89.14837,94.5245,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,클러치백,50000649,90.39228666666668,100.0,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,클러치백,50000649,56.74494000000001,69.43235,가방,608718
Q1,패션잡화,50000001,남성가방,50000177,토트백,50000647,96.45135,100.0,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,토트백,50000647,84.75166666666667,87.18723,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,토트백,50000647,70.13737333333334,85.42355,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,토트백,50000647,46.61752333333334,47.62019,가방,608718
Q1,패션잡화,50000001,남성가방,50000177,힙색/슬링백,50000652,55.68114666666667,65.52548,가방,646754
Q2,패션잡화,50000001,남성가방,50000177,힙색/슬링백,50000652,92.23512,99.19875,가방,598649
Q3,패션잡화,50000001,남성가방,50000177,힙색/슬링백,50000652,86.62468666666666,100.0,가방,587789
Q4,패션잡화,50000001,남성가방,50000177,힙색/슬링백,50000652,36.031326666666665,51.67975,가방,608718
Q1,패션잡화,50000001,여성가방,50000176,가방소품,50001468,93.8677,100.0,가방,646754
