category1,category1_id,category2,category2_id,category3,category3_id,age_10s_percent,age_20s_percent,age_30s_percent,age_40s_percent,age_50s_percent,age_60s_plus_percent,device_Mobile_percent,device_PC_percent,gender_Female_percent,gender_Male_percent
가구/인테리어,50000004,인테리어소품,50000108,아로마/캔들용품,50001122,0.809781964,10.24464394,28.24962029,29.91820214,20.99896772,9.778783947,82.9958828,17.0041172,67.9471518,32.0528482
가구/인테리어,50000004,인테리어소품,50000108,액자,50001121,1.393196115,8.118657485,26.92102234,30.4652197,22.6272226,10.47468175,81.8116402,18.1883598,69.19573726,30.80426274
가구/인테리어,50000004,인테리어소품,50000108,앤틱소품,50000966,1.234984224,9.551863043,22.41783117,27.54218755,26.73395895,12.51917506,85.52320482,14.47679518,67.31194033,32.68805967
가구/인테리어,50000004,인테리어소품,50000108,오르골,50001076,2.172206702,8.780348231,27.20711792,36.99481607,17.71200006,7.133511028,87.08242387,12.91757613,69.12891249,30.87108751
가구/인테리어,50000004,인테리어소품,50000108,우체통,50000962,0.642188491,4.948202006,16.718718,28.86192713,30.07157055,18.75739383,71.9625929,28.0374071,57.36224364,42.63775636
가구/인테리어,50000004,인테리어소품,50000108,워터볼,50000961,2.134701538,9.216829675,28.69803697,38.05248274,16.72726806,5.170681017,84.90932075,15.09067925,72.88794404,27.11205596
가구/인테리어,50000004,인테리어소품,50000108,인터폰박스,50001074,0.097545853,5.016955395,37.97371049,34.17271008,18.28699811,4.452080075,80.57996105,19.42003895,66.56305382,33.43694618
가구/인테리어,50000004,인테리어소품,50000108,인테리어분수,50001075,0.450368736,3.561079032,17.90223965,33.37317287,29.75598658,14.95715313,79.2419855,20.7580145,55.95044532,44.04955468
가구/인테리어,50000004,인테리어소품,50000108,인테리어창문,50001073,0.266200892,3.57325446,22.69888483,32.25146172,29.44609588,11.76410221,72.42650536,27.57349464,49.42658227,50.57341773
가구/인테리어,50000004,인테리어소품,50000108,인테리어파티션/가벽,50001072,0.296061591,5.644180818,25.14064217,36.27403352,24.23872131,8.406360591,77.16654661,22.83345339,64.64071887,35.35928113
가구/인테리어,50000004,인테리어소품,50000108,장식미니어처,50001070,3.811652544,15.12645631,28.41752869,32.16628186,16.37944801,4.09863259,83.06539788,16.93460212,75.69496501,24.30503499
가구/인테리어,50000004,인테리어소품,50000108,장식인형,50001069,4.511033328,17.25951726,28.6972134,27.96090142,15.465067,6.106267584,87.34445423,12.65554577,77.8536634,22.1463366
가구/인테리어,50000004,인테리어소품,50000108,전통공예소품,50000967,0.957779136,6.946880297,23.03492149,34.0459571,24.48069182,10.53377015,79.21031814,20.78968186,71.1212804,28.8787196
가구/인테리어,50000004,인테리어소품,50000108,조명,50001119,0.471433414,5.144679077,23.55065895,34.93412327,24.52190628,11.37719901,74.33453607,25.66546393,42.05015794,57.94984206
가구/인테리어,50000004,인테리어소품,50000108,패브릭포스터,50016960,1.514557467,16.07775999,29.56868393,27.98246063,18.15065364,6.705884347,80.7522439,19.2477561,78.7756717,21.2243283
가구/인테리어,50000004,인테리어소품,50000108,화병,50001071,0.420176695,6.039779163,27.09856234,32.4386244,25.41486549,8.587991906,83.63960912,16.36039088,82.98709818,17.01290182
가구/인테리어,50000004,주방가구,50000102,그릇장/컵보드,50001317,0.069350581,2.682937313,15.97640865,30.21406967,36.48809929,14.5691345,85.65652502,14.34347498,83.95365815,16.04634185
가구/인테리어,50000004,주방가구,50000102,기타주방가구,50001318,0.148030152,4.430340566,19.81542043,31.48800873,28.71293557,15.40526455,77.09794845,22.90205155,47.7591522,52.2408478
가구/인테리어,50000004,주방가구,50000102,레인지대,50001313,0.250903721,4.205425822,20.12059246,28.05289869,29.08344322,18.28673608,87.41029953,12.58970047,66.89978253,33.10021747
가구/인테리어,50000004,주방가구,50000102,식탁/의자,50001236,0.152391958,3.960670871,23.89371658,33.93782742,25.61623434,12.43915884,84.95879139,15.04120861,69.79009308,30.20990692
가구/인테리어,50000004,주방가구,50000102,왜건/카트,50001315,0.401922192,7.269362799,28.28569434,34.40483238,21.5776949,8.060493383,78.68357412,21.31642588,75.35271361,24.64728639
가구/인테리어,50000004,주방가구,50000102,주방수납장,50001316,0.144539398,3.095074693,24.06585901,34.33689244,26.8274664,11.53016807,83.61873796,16.38126204,70.98179729,29.01820271
가구/인테리어,50000004,침구단품,50000109,기타침구단품,50000976,0.245371,5.438080225,28.9292874,33.30383521,22.41931432,9.664111844,84.49494899,15.50505101,65.05803609,34.94196391
가구/인테리어,50000004,침구단품,50000109,담요,50000973,2.025007978,7.551736204,26.57217177,31.71864268,22.50966988,9.622771486,83.45690373,16.54309627,75.51219527,24.48780473
가구/인테리어,50000004,침구단품,50000109,매트/침대커버,50020679,0.279529637,4.186948246,21.29259181,33.23895465,27.87724867,13.12472698,88.67737168,11.32262832,69.95490637,30.04509363
가구/인테리어,50000004,침구단품,50000109,무릎담요,50000974,6.440091923,10.60272155,21.40592551,33.03974379,21.02337017,7.488147059,77.89684106,22.10315894,73.56206032,26.43793968
가구/인테리어,50000004,침구단품,50000109,스프레드,50000969,0.160055724,2.123737054,12.16887233,29.17525406,37.75890179,18.61317904,90.89294479,9.107055214,87.24417538,12.75582462
가구/인테리어,50000004,침구단품,50000109,요,50001126,0.147939349,3.454540755,16.95187722,31.79592253,31.47817899,16.17154115,86.57725334,13.42274666,76.77688571,23.22311429
가구/인테리어,50000004,침구단품,50000109,이불커버,50000972,0.473036009,5.735007866,17.65286549,26.43425143,29.97337073,19.73146848,88.54104931,11.45895069,79.64188773,20.35811227
가구/인테리어,50000004,침구단품,50000109,전기매트커버,50000975,0.046981553,3.56756152,22.30793623,35.37080163,26.38359537,12.3231237,82.99251016,17.00748984,69.14846281,30.85153719
가구/인테리어,50000004,침구단품,50000109,차렵이불,50000970,0.350187431,5.828145125,21.69339158,31.08509225,27.46613323,13.57705038,90.11365763,9.886342366,81.53221084,18.46778916
가구/인테리어,50000004,침구단품,50000109,쿨매트,50023219,0,0,0,0,0,0,0,0,0,0
가구/인테리어,50000004,침구단품,50000109,토퍼,50007048,0.290021281,7.159006893,26.78872089,30.9608015,23.60811304,11.19333639,86.43188618,13.56811382,66.48579828,33.51420172
가구/인테리어,50000004,침구단품,50000109,토퍼커버,50007049,0.095047278,5.104663184,29.93130581,35.45937967,21.70184336,7.707760701,84.57362134,15.42637866,70.6968467,29.3031533
가구/인테리어,50000004,침구단품,50000109,패드,50001125,0.172484546,3.927975079,23.01529788,31.87163041,27.10193026,13.91068181,88.9804874,11.0195126,78.21540354,21.78459646
가구/인테리어,50000004,침구단품,50000109,홑이불,50000971,0.200128589,4.877430401,23.76225663,32.95706828,25.4785526,12.72456351,85.59686489,14.40313511,81.78773686,18.21226314
가구/인테리어,50000004,침구세트,50000110,매트커버세트,50001128,0.299109681,4.709757811,23.89860621,32.35995288,27.24968491,11.48288851,89.08787155,10.91212845,82.05648644,17.94351356
가구/인테리어,50000004,침구세트,50000110,요이불세트,50001131,0.331191459,3.789946006,21.94414172,34.10270721,27.26031271,12.5717009,87.50847363,12.49152637,78.71149033,21.28850967
가구/인테리어,50000004,침구세트,50000110,이불베개세트,50001129,0.630518667,7.140875757,23.68748585,31.11837737,25.12192727,12.30081509,88.81301757,11.18698243,79.44397809,20.55602191
가구/인테리어,50000004,침구세트,50000110,이불패드세트,50001130,0.142370456,3.368963599,22.5671846,34.57314439,27.86083932,11.48749764,88.44701471,11.55298529,84.84251303,15.15748697
가구/인테리어,50000004,침구세트,50000110,침대커버세트,50020659,0.695320747,4.171934514,17.19342466,30.08849649,33.43868861,14.41213498,88.41324919,11.58675081,75.95178216,24.04821784
가구/인테리어,50000004,침구세트,50000110,한실예단세트,50000977,0.127835378,4.290345353,20.99650855,19.54664526,32.98516023,22.05350522,88.89993358,11.10006642,86.19904196,13.80095804
가구/인테리어,50000004,침실가구,50000100,거울,50001232,0.942541979,9.302952198,27.67171438,31.95780417,21.65705427,8.467932997,80.31392171,19.68607829,71.33928867,28.66071133
가구/인테리어,50000004,침실가구,50000100,매트리스,50018859,0.230814859,6.204098256,24.05574782,31.12380947,25.43401907,12.95151052,87.59373296,12.40626704,57.59935027,42.40064973
가구/인테리어,50000004,침실가구,50000100,부부테이블,50001308,0.06944806,2.180732669,7.111701761,21.28232935,45.85938431,23.49640385,85.35465286,14.64534714,81.4445347,18.5554653
가구/인테리어,50000004,침실가구,50000100,서랍장,50007189,0.243526755,4.339933636,21.01228835,32.98497997,28.06618185,13.35308944,85.51169147,14.48830853,72.88942447,27.11057553
가구/인테리어,50000004,침실가구,50000100,장롱/붙박이장,50001230,0.313118198,4.365915971,22.30053519,37.29524774,25.73597493,9.989207976,84.74624256,15.25375744,69.99420388,30.00579612
가구/인테리어,50000004,침실가구,50000100,침대,50001228,0.380016981,5.692866027,24.67197811,34.15704689,24.04161696,11.05647503,85.77890006,14.22109994,65.84981254,34.15018746
가구/인테리어,50000004,침실가구,50000100,침실세트,50001309,0.266685715,2.53833276,22.80455361,55.19574709,14.7514044,4.443276424,85.50777797,14.49222203,74.56416339,25.43583661
가구/인테리어,50000004,침실가구,50000100,협탁,50001307,0.336022208,6.319989385,24.6555988,32.37921696,25.39714663,10.91202601,82.85716128,17.14283872,65.87630856,34.12369144
가구/인테리어,50000004,침실가구,50000100,화장대,50001231,1.208014199,7.846873651,24.63870349,34.11422165,24.06330453,8.12888248,85.52372191,14.47627809,81.14472864,18.85527136
가구/인테리어,50000004,카페트/러그,50000112,대자리,50000983,0.22788885,4.147244794,14.66666617,27.57617086,32.63829914,20.74373019,86.13409264,13.86590736,62.37370106,37.62629894
가구/인테리어,50000004,카페트/러그,50000112,러그,50000981,0.468643912,6.989178394,25.77664623,31.00956533,23.64013916,12.11582698,81.54540298,18.45459702,73.54170582,26.45829418
가구/인테리어,50000004,카페트/러그,50000112,발매트,50000982,0.292396141,5.26484418,22.94627347,29.1795704,27.16470607,15.15220974,85.47910699,14.52089301,73.06728314,26.93271686
가구/인테리어,50000004,카페트/러그,50000112,카페트,50001135,0.282515592,3.681112799,14.17748033,30.85804102,32.4068705,18.59397976,87.88137268,12.11862732,73.72570387,26.27429613
가구/인테리어,50000004,커튼/블라인드,50000113,기타액세서리,50000867,0.12804103,3.366353577,23.44796842,32.73757004,27.35928724,12.96077968,73.30894251,26.69105749,49.68691197,50.31308803
가구/인테리어,50000004,커튼/블라인드,50000113,로만셰이드,50000857,0.087731177,6.930986452,42.1440752,27.06128492,17.51693996,6.258982284,82.92166373,17.07833627,85.83511151,14.16488849
가구/인테리어,50000004,커튼/블라인드,50000113,롤스크린,50000861,0.219180824,4.002681215,18.9949131,33.27859044,29.90067154,13.60396288,77.77677086,22.22322914,54.47977203,45.52022797
가구/인테리어,50000004,커튼/블라인드,50000113,바란스,50000862,0.241622209,5.266374751,23.9414029,34.85355429,27.05606036,8.640985484,82.00872382,17.99127618,75.76552569,24.23447431
가구/인테리어,50000004,커튼/블라인드,50000113,버티컬,50000860,0.077192382,2.507194483,13.23555308,23.93174761,37.11423471,23.13407774,78.56663126,21.43336874,54.07549284,45.92450716
가구/인테리어,50000004,커튼/블라인드,50000113,블라인드,50000859,0.195369737,4.684790956,25.37354551,34.65318638,24.76926295,10.32384447,81.9059345,18.0940655,56.24787274,43.75212726
가구/인테리어,50000004,커튼/블라인드,50000113,자바라,50000866,0.135389753,2.796751776,14.73902912,32.81697723,33.31499004,16.19686209,80.07218167,19.92781833,48.17929701,51.82070299
가구/인테리어,50000004,커튼/블라인드,50000113,캐노피,50000863,0.665414452,6.264189607,38.08103518,40.41534334,11.3558833,3.218134119,76.57385707,23.42614293,76.82138438,23.17861562
가구/인테리어,50000004,커튼/블라인드,50000113,커튼,50001136,0.412269082,6.70158235,24.5233635,30.10518516,25.5011629,12.75643701,85.85701656,14.14298344,67.04638058,32.95361942
가구/인테리어,50000004,커튼/블라인드,50000113,콤비블라인드,50006168,0.217244125,4.636966818,21.79025118,30.85689011,27.15614769,15.34250008,79.77075238,20.22924762,53.37825271,46.62174729
가구/인테리어,50000004,홈데코,50000154,주방데코,50001138,0.308386482,5.087299976,20.44010452,32.00492223,28.93399001,13.22529678,83.28740225,16.71259775,75.91217169,24.08782831
가구/인테리어,50000004,홈데코,50000154,커버류,50001137,0.099350552,3.131208715,20.56757507,33.89198656,29.22114142,13.08873768,86.93121444,13.06878556,76.08430106,23.91569894
